epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.01,4.746311664581299,0.029216744005680084,2.86446475982666,0.36152219772338867
2,0.01,3.4020514488220215,0.23930899798870087,2.2915618419647217,0.42102083563804626
3,0.01,2.9052159786224365,0.3444540798664093,2.0308146476745605,0.4620624780654907
4,0.01,2.613158702850342,0.3926611840724945,1.9399073123931885,0.4976005554199219
5,0.01,2.419609546661377,0.42601245641708374,1.8667635917663574,0.5357226729393005
6,0.01,2.276052713394165,0.4534148573875427,1.7757014036178589,0.5696835517883301
7,0.01,2.173002004623413,0.4752861559391022,1.6826311349868774,0.5950870513916016
8,0.01,2.1032183170318604,0.4891413152217865,1.5858433246612549,0.6075035929679871
9,0.01,2.0344841480255127,0.49870795011520386,1.48497474193573,0.6203563809394836
10,0.01,1.9810127019882202,0.5110236406326294,1.393462061882019,0.6293835043907166
11,0.01,1.9180550575256348,0.5220857262611389,1.334576964378357,0.6371018886566162
12,0.01,1.874355673789978,0.5294751524925232,1.3032413721084595,0.6398200988769531
13,0.01,1.8529812097549438,0.533301830291748,1.2865207195281982,0.6401892304420471
14,0.01,1.8223509788513184,0.5391517281532288,1.2747479677200317,0.6406254768371582
15,0.01,1.803033709526062,0.5424615740776062,1.262665033340454,0.6403570175170898
16,0.01,1.7800698280334473,0.5458593964576721,1.247050404548645,0.6404576897621155
17,0.01,1.762070655822754,0.5486963987350464,1.2254785299301147,0.6430081129074097
18,0.01,1.739331841468811,0.550972580909729,1.2022708654403687,0.6471693515777588
19,0.01,1.7201764583587646,0.5561957955360413,1.1816505193710327,0.6509949564933777
20,0.01,1.7050508260726929,0.5591317415237427,1.1649123430252075,0.6557937860488892
21,0.01,1.6915247440338135,0.5636951327323914,1.151766061782837,0.6586797833442688
22,0.01,1.6731747388839722,0.5678516626358032,1.1410777568817139,0.6617000102996826
23,0.01,1.6668788194656372,0.5690502524375916,1.130589246749878,0.6633108258247375
24,0.01,1.6425437927246094,0.5731847882270813,1.1224822998046875,0.6644517779350281
25,0.01,1.6366244554519653,0.5707656741142273,1.1146116256713867,0.6661297082901001
26,0.01,1.6251990795135498,0.5744933485984802,1.108086109161377,0.6662303805351257
27,0.01,1.6284857988357544,0.574372410774231,1.1025022268295288,0.6667001843452454
28,0.01,1.6081792116165161,0.5771104097366333,1.097573161125183,0.6666330695152283
29,0.01,1.6016569137573242,0.5776052474975586,1.0930999517440796,0.6685459017753601
30,0.01,1.605432391166687,0.5754939913749695,1.0888657569885254,0.6694519519805908
31,0.01,1.5881643295288086,0.5794965624809265,1.08415949344635,0.670894980430603
32,0.01,1.5898640155792236,0.5805082321166992,1.07901930809021,0.6728078126907349
33,0.01,1.5828332901000977,0.5813329219818115,1.0740889310836792,0.6743514537811279
34,0.01,1.5707005262374878,0.5834991931915283,1.0700762271881104,0.6743514537811279
35,0.01,1.5562775135040283,0.587303876876831,1.067884922027588,0.6756266951560974
36,0.01,1.557808756828308,0.5879086256027222,1.0664664506912231,0.6762642860412598
37,0.01,1.5600396394729614,0.5857424139976501,1.0649956464767456,0.6772374510765076
38,0.01,1.542811393737793,0.5890412330627441,1.0630098581314087,0.6782106757164001
39,0.01,1.5444315671920776,0.5896570086479187,1.0617551803588867,0.679183840751648
40,0.01,1.545038104057312,0.5893161296844482,1.0606141090393066,0.679250955581665
41,0.01,1.541650652885437,0.590327799320221,1.058887004852295,0.6798885464668274
42,0.01,1.5287047624588013,0.5923510789871216,1.0569194555282593,0.6813986897468567
43,0.01,1.529533863067627,0.5927799344062805,1.054574966430664,0.6809624433517456
44,0.01,1.5242043733596802,0.5935826301574707,1.0521892309188843,0.6818013787269592
45,0.01,1.523510456085205,0.5926370024681091,1.0498682260513306,0.6827409863471985
46,0.01,1.526179552078247,0.5927579402923584,1.0475115776062012,0.6834121942520142
47,0.01,1.5173711776733398,0.5933297276496887,1.045539379119873,0.6838819980621338
48,0.01,1.5128122568130493,0.5953969955444336,1.0439988374710083,0.6833450794219971
49,0.01,1.51042640209198,0.5948472023010254,1.0430142879486084,0.6834793090820312
50,0.01,1.5168904066085815,0.5934726595878601,1.0426348447799683,0.6839155554771423
51,0.01,1.505018711090088,0.5967605113983154,1.042406439781189,0.6839826703071594
52,0.01,1.5045348405838013,0.5980910658836365,1.0421741008758545,0.6849558353424072
53,0.01,1.5057402849197388,0.5961117744445801,1.0407631397247314,0.6848887205123901
54,0.01,1.5022597312927246,0.598508894443512,1.038881778717041,0.6858283281326294
55,0.01,1.4933444261550903,0.5995645523071289,1.03690767288208,0.6868351101875305
56,0.01,1.495759129524231,0.5983989238739014,1.0350580215454102,0.6867679953575134
57,0.01,1.4994230270385742,0.596793532371521,1.0336997509002686,0.6871371269226074
58,0.01,1.497938871383667,0.5983879566192627,1.032979130744934,0.6872042417526245
59,0.01,1.4944303035736084,0.5983879566192627,1.0328484773635864,0.6868351101875305
60,0.01,1.4899437427520752,0.5995425581932068,1.0327732563018799,0.6862981915473938
61,0.01,1.4889012575149536,0.5996415019035339,1.0322028398513794,0.685190737247467
62,0.01,1.482300043106079,0.6022586226463318,1.031152367591858,0.6851571798324585
63,0.01,1.481839895248413,0.6002352833747864,1.0296964645385742,0.6861304044723511
64,0.01,1.4847782850265503,0.5998284220695496,1.0283600091934204,0.6868686676025391
65,0.01,1.4858131408691406,0.6007631421089172,1.027138590812683,0.687908947467804
66,0.01,1.4772615432739258,0.6016207933425903,1.0261399745941162,0.6881102919578552
67,0.01,1.479284644126892,0.600598156452179,1.025047779083252,0.6880431771278381
68,0.01,1.4818700551986694,0.5997734665870667,1.0236539840698242,0.6883116364479065
69,0.01,1.4737749099731445,0.6021376252174377,1.022786021232605,0.6883787512779236
70,0.01,1.4736117124557495,0.6032702326774597,1.022384524345398,0.688848614692688
71,0.01,1.4743231534957886,0.6032152771949768,1.02187979221344,0.6887479424476624
72,0.01,1.469364881515503,0.60280841588974,1.0207768678665161,0.6886472702026367
