epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.01,3.736736536026001,0.03164689242839813,2.312779664993286,0.4623309373855591
2,0.01,2.409748077392578,0.44490382075309753,1.9987332820892334,0.5217288732528687
3,0.01,2.1534032821655273,0.46005651354789734,1.8849447965621948,0.5667639374732971
4,0.01,1.8921021223068237,0.5404932498931885,1.9675801992416382,0.5446155667304993
5,0.01,1.7398344278335571,0.570270836353302,1.9693796634674072,0.5498170852661133
6,0.01,1.6226974725723267,0.5812669396400452,1.844663381576538,0.5726031064987183
7,0.01,1.5257395505905151,0.6000593900680542,1.7499324083328247,0.5923352837562561
8,0.01,1.460264801979065,0.6118802428245544,1.7110739946365356,0.6005905866622925
9,0.01,1.427682638168335,0.6133317351341248,1.6742526292800903,0.6043155789375305
10,0.01,1.3921561241149902,0.6209410429000854,1.6357061862945557,0.608174741268158
11,0.01,1.35049307346344,0.6321461200714111,1.601103663444519,0.6117318868637085
12,0.01,1.32133948802948,0.6371273398399353,1.553591012954712,0.6142151951789856
13,0.01,1.299976110458374,0.6409429907798767,1.4819104671478271,0.6212959885597229
14,0.01,1.2770100831985474,0.6439229846000671,1.401526927947998,0.629349946975708
15,0.01,1.2561213970184326,0.6464740633964539,1.3347432613372803,0.6343501210212708
16,0.01,1.2331438064575195,0.6490691900253296,1.2916443347930908,0.639383852481842
17,0.01,1.2151137590408325,0.6549630761146545,1.2711628675460815,0.639383852481842
18,0.01,1.201732873916626,0.6553479433059692,1.2576966285705566,0.638075053691864
19,0.01,1.1932398080825806,0.6568324565887451,1.2364563941955566,0.6394509673118591
20,0.01,1.1750872135162354,0.6611649394035339,1.2046113014221191,0.6439477801322937
21,0.01,1.1597211360931396,0.6631991863250732,1.1682281494140625,0.6502566933631897
22,0.01,1.1431881189346313,0.667201817035675,1.1358875036239624,0.6580421924591064
23,0.01,1.1335575580596924,0.6700717806816101,1.1123522520065308,0.665324330329895
24,0.01,1.1227784156799316,0.672512948513031,1.0973097085952759,0.6682774424552917
25,0.01,1.1152770519256592,0.674349308013916,1.0879908800125122,0.6702238321304321
26,0.01,1.1064685583114624,0.6772852540016174,1.0813086032867432,0.6734789609909058
27,0.01,1.094349980354309,0.6793745160102844,1.0752630233764648,0.6757609248161316
28,0.01,1.091499924659729,0.6803971529006958,1.0697300434112549,0.6780092716217041
29,0.01,1.0817590951919556,0.6793745160102844,1.064789056777954,0.6807610988616943
30,0.01,1.074535846710205,0.6830362677574158,1.058398962020874,0.6834457516670227
31,0.01,1.066677451133728,0.684289813041687,1.0493563413619995,0.6867008805274963
32,0.01,1.0570207834243774,0.6862471103668213,1.0390288829803467,0.6884123086929321
33,0.01,1.0496923923492432,0.6881714463233948,1.029091477394104,0.6912983655929565
34,0.01,1.0443737506866455,0.6906895637512207,1.02072012424469,0.6928420066833496
