configuration,learning_rate,hidden_channels,dropout,weight_decay,best_epoch,best_validation_loss,best_validation_accuracy
Config 3,0.01,256,0.3,0.0001,96,0.9271358847618103,0.722272515296936
Config 1,0.01,256,0.5,0.0,100,0.9216096997261047,0.7213664650917053
Config 2,0.005,256,0.5,0.0005,100,0.9977306723594666,0.72022545337677
