epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.01,4.180210590362549,0.026599662378430367,2.8523037433624268,0.40175843238830566
2,0.01,2.202284812927246,0.4656095504760742,2.299298048019409,0.4939427375793457
3,0.01,1.8206841945648193,0.541988730430603,1.9346791505813599,0.5822678208351135
4,0.01,1.6317719221115112,0.5954629778862,1.7091511487960815,0.6215308904647827
5,0.01,1.531528353691101,0.6136506199836731,1.5700123310089111,0.6212959885597229
6,0.01,1.454625129699707,0.6285723447799683,1.4900429248809814,0.6033759117126465
7,0.01,1.4017573595046997,0.6371933221817017,1.419995665550232,0.6107587218284607
8,0.01,1.3590463399887085,0.646166205406189,1.3461161851882935,0.6309607625007629
9,0.01,1.320003628730774,0.6522250771522522,1.292088270187378,0.6471693515777588
10,0.01,1.2966282367706299,0.6569533944129944,1.2521637678146362,0.6548541784286499
11,0.01,1.2718576192855835,0.6581409573554993,1.219620704650879,0.6618006825447083
12,0.01,1.2442246675491333,0.663858950138092,1.1946439743041992,0.6652236580848694
13,0.01,1.2197502851486206,0.670423686504364,1.1737878322601318,0.6712305545806885
14,0.01,1.2013978958129883,0.6727768182754517,1.1537882089614868,0.6780092716217041
15,0.01,1.1837642192840576,0.6745582222938538,1.1354448795318604,0.6825396418571472
16,0.01,1.1693885326385498,0.6769003868103027,1.1196978092193604,0.6870364546775818
17,0.01,1.1551743745803833,0.6784398555755615,1.105745792388916,0.6888150572776794
18,0.01,1.1416893005371094,0.6823545098304749,1.0939445495605469,0.6904929280281067
19,0.01,1.1280615329742432,0.6858182549476624,1.0858964920043945,0.689586877822876
20,0.01,1.120395302772522,0.6864780187606812,1.0813202857971191,0.687908947467804
21,0.01,1.1127424240112305,0.6867419481277466,1.0757008790969849,0.6867008805274963
22,0.01,1.1013967990875244,0.6896669268608093,1.065976858139038,0.6874055862426758
23,0.01,1.0934100151062012,0.6905026435852051,1.0514336824417114,0.6922715306282043
24,0.01,1.0820668935775757,0.6925479173660278,1.0379688739776611,0.6971710324287415
25,0.01,1.0757369995117188,0.6923499703407288,1.0285392999649048,0.6997550129890442
26,0.01,1.0707889795303345,0.6939443945884705,1.0229198932647705,0.7017013430595398
27,0.01,1.0642176866531372,0.6950550079345703,1.0192536115646362,0.7022047638893127
28,0.01,1.0574073791503906,0.6971222758293152,1.0163062810897827,0.7024732232093811
29,0.01,1.050312876701355,0.6992335319519043,1.014190673828125,0.7017013430595398
30,0.01,1.044721245765686,0.699992299079895,1.0125584602355957,0.7018020153045654
31,0.01,1.0391647815704346,0.7020595669746399,1.010965347290039,0.7030101418495178
32,0.01,1.034177541732788,0.7018726468086243,1.010553002357483,0.7035806179046631
33,0.01,1.0270370244979858,0.7032801508903503,1.0111311674118042,0.7036477327346802
34,0.01,1.0224790573120117,0.7041048407554626,1.0105688571929932,0.7042853236198425
35,0.01,1.0193593502044678,0.7058202624320984,1.008127212524414,0.7041846513748169
36,0.01,1.0159821510314941,0.705303430557251,1.0039328336715698,0.7053927779197693
37,0.01,1.0108383893966675,0.7077335715293884,0.9985454678535461,0.7071042656898499
38,0.01,1.0060428380966187,0.7078984975814819,0.99309241771698,0.7081109881401062
39,0.01,1.0015193223953247,0.7090311050415039,0.9891095161437988,0.7089163661003113
40,0.01,0.9993055462837219,0.7103286385536194,0.9865900278091431,0.7090505957603455
